id	successful	dissovet	speciality	title	author	supervisor	uploaded	defended	interval
231013	True	09.19.00	05.18.07	Разработка  состава и технологии низколактозного высобелкового замороженного десерта на козьем молоке	Лугова Маргарита Витальевна	Арсеньева Тамара Павловна	16.11.2020	17.12.2020	31
132011	True	05.19.00	01.04.05	Особенности распространения электромагнитных волн в искусственных резонансных средах на основе графена в терагерцовом диапазоне частот	Гребенчуков Александр	Ходзицкий Михаил -	23.11.2020	24.12.2020	31
757541	True	05.22.00	1.3.6	Исключительные точки в высокодобротных резонаторах с керровской нелинейностью	Рамезанпур Шахаб	Богданов Андрей Андреевич	03.02.2023	06.03.2023	31
128459	True	06.19.00	05.11.07	Разработка блока лазерного излучателя для аддитивных технологий на основе лазерных диодов непрерывного режима генерации	Котова Екатерина Ильинична	Бугров Владислав Евгеньевич	22.11.2019	30.12.2019	38
730485	True	05.22.00	1.3.6	Нелинейная генерация излучения из диэлектрических наночастиц и наноструктур	Фризюк Кристина Сергеевна	Петров Михаил Игоревич	07.11.2022	07.12.2022	30
1020127	True	01.22.00	2.3.2	Модели и методы обеспечения отказоустойчивости компьютерных систем бизнес-аналитики	Сивов Виктор Валерьевич	Богатырев Владимир Анатольевич	10.11.2023	14.12.2023	34
470608	True	06.19.00	05.11.07	Разработка и исследование высокомощных волоконных импульсных лазеров на основе активных волокон с двойной оболочкой и с переменным диаметром сердцевины	Петров Андрей Борисович	Одноблюдов Максим Анатольевич	19.11.2021	21.12.2021	32
10320335	True	07.22.00	1.3.8	Взаимодействие света с веществом в нанофотонных волноводах на основе новых функциональных материалов	Михин Алексей Олегович	Кравцов Василий Андреевич	19.11.2024	20.12.2024	31
749244	True	04.22.00	2.3.8	Метод графовой кластеризации для совместного анализа данных генотипирования и экспрессии генов	Лобода Александр Александрович	Сергушичев Алексей Александрович	22.11.2022	23.12.2022	31
1018853	True	07.22.00	1.3.11	Разработка и исследование гибридных оптоэлектронных структур на основе перовскитов галогенидных соединений, полимерных и полупроводниковых материалов	Баева Мария Григорьевна	Мухин Иван Сергеевич	02.11.2023	06.12.2023	34
726773	True	01.22.00	2.3.2	Разработка и исследование методов синтеза таблиц расписаний для сетей авионики с временным мультиплексированием	Коробков Илья Леонидович	Жаринов Игорь Олегович	07.11.2022	08.12.2022	31
14077302	True	14.22.00	2.3.6	Методы мониторинга шифрованного трафика в ip-­сетях на основе анализа цифровых отпечатков  протоколов	Ишкуватов Сергей Маратович	Комаров Игорь Иванович	20.11.2024	20.12.2024	30
10320979	True	04.22.00	2.3.8	Многомодальный контекстный анализ динамики аффективных состояний в коллаборативных группах пользователей	Дресвянский Денис Владиславович	Карпов Алексей Анатольевич	13.11.2024	13.01.2025	61
14077317	True	09.22.00	4.3.3	Разработка системного подхода к прогнозированию качества очистки сточных вод пищевых производств	Семенова Татьяна Станиславовна	Сергиенко Ольга Ивановна	18.11.2024	18.12.2024	30
454862	True	03.19.00	2.3.1	Метод синтеза адаптивных наблюдателей для нестационарных систем с полиномиальными параметрами	Данг Бинь Хак	Пыркин Антон Александрович	28.09.2021	28.10.2021	30
10306323	True	15.24.00	1.3.6	Внутрирезонаторные голографические решётки и импульсные лазеры с управляемым спектром на их основе	Погода Анастасия Павловна	Петров Виктор Михайлович	20.11.2024	21.01.2025	62
